Address,Price,Date
1242 MARNE AVE,"162,500",2016 Q1
1236 MARNE AVE,"72,000",03/22/2010
1228 MARNE AVE,"57,000",02/28/2011
1220 MARNE AVE,"90,500",03/26/2015
1210 MARNE AVE,"72,500",11/29/2011
1202 MARNE AVE,"162,500",2016 Q1
1205 MARNE AVE,"162,500",2016 Q1
1213 MARNE AVE,"102,000",02/26/2016
1221 MARNE AVE,"70,000",03/12/2010
1229 MARNE AVE,"92,500",05/20/2015
1237 MARNE AVE,"76,000",11/13/2015
1240 MARNE AVE,"78,600",06/27/2012
1224 MARNE AVE,"139,628",02/28/2011
1206 MARNE AVE,"162,500",2016 Q1
1209 MARNE AVE,"139,000",05/24/2017
1225 MARNE AVE,"90,000",12/30/2015
1218 MARNE AVE,"162,500",2016 Q1
1232 MARNE AVE,"97,000",08/15/2014
1201 MARNE AVE,"162,500",2016 Q1
1233 MARNE AVE,"63,500",03/18/2010
1214 MARNE AVE,"143,872",09/20/2010
1217 MARNE AVE,"113,000",08/31/2016
